GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Model_Project,dao,FileSudokuBoardDao,12,63,0,0,6,18,2,4,2,4
Model_Project,dao,JdbcSudokuBoardDao,1,84,0,4,1,24,1,7,1,5
Model_Project,dao,SudokuBoardDaoFactory,5,5,0,0,1,1,1,1,1,1
Model_Project,sudoku,SudokuStructure,4,110,2,10,2,24,2,11,0,7
Model_Project,sudoku,SudokuBoard,37,436,5,45,16,80,11,40,6,20
Model_Project,sudoku,SudokuField,11,64,1,5,5,19,4,12,3,10
Model_Project,sudoku,SudokuBoardRepository,17,47,2,0,6,16,2,4,1,4
Model_Project,exceptions,NameExistsException,0,4,0,0,0,2,0,1,0,1
Model_Project,exceptions,NoDataException,7,0,0,0,4,0,2,0,2,0
Model_Project,exceptions,NoSuchFileException,3,5,0,0,2,2,1,1,1,1
Model_Project,exceptions,MyFileReadingException,7,5,0,0,4,2,2,1,2,1
Model_Project,exceptions,LoadNewFragmentException,5,0,0,0,2,0,1,0,1,0
Model_Project,solver,BacktrackingSudokuSolver,0,231,0,38,0,49,0,30,0,11
Model_Project,solver,BacktrackingSudokuSolver.new ArrayList() {...},0,51,0,0,0,11,0,1,0,1
